title,author,datetime,content,url
테라버닝 이후 260까지 빠르게 찍는 방법 없을까요??,땔감,2026-07-01 00:39,"하이퍼는 다른캐릭 키우고 있고
테라버닝으로 하나 더 키우려고 하는데 구간별 효율좋은 사냥터나, 딸농같은 뭔가 방법이 있을까요??",https://www.inven.co.kr/board/maple/2300/358566
보스 배율 200퍼면,,2026-07-01 00:32,대충 10분정도 치면 잡는다고 생각하면대나요?,https://www.inven.co.kr/board/maple/2300/358565
챌린저스 패스 경험치 획득 순서,라이나0,2026-07-01 00:31,"지금 272렙 50퍼에 exp 교환권 2000개, 블루베리 농장 6개, 사우나 2시간 있으면 어떤 순서로 하는게 가장 이득인가요?",https://www.inven.co.kr/board/maple/2300/358564
리레4렙 팔까요 갖고 있을까요 ?,디지디디,2026-07-01 00:24,"본캐 보스돌이하다 반상에서 리레4렙 먹었는데.. 고민중입니다
챌섭 레테 건너오면 줄지,, 아니면 팔고 그 메소로 다른 템 수급하는 게 좋을 지
어떤 게 더 나을까요? 레테 투력은 4100입니다",https://www.inven.co.kr/board/maple/2300/358563
흔적 3000개 넘겨서 300개넘게 날아갔는데 복구해줄까요?,심해구조대,2026-07-01 00:17,이거때문에 한주 밀려서 일단 문의는 넣었는데 복구해줬던 사례라도 있나요..?,https://www.inven.co.kr/board/maple/2300/358562
이지칼로스 2-1 패턴 질문이있습니다 ㅜㅠ,쓰리싸이즈,2026-07-01 00:13,"분명히 영상에서는 수호지대 들어갔다가 이펙트 보면 패턴 파훼된거라는데
저는 이후에 찍기하면서 피가 다시 차거든요? 아무리 영상을 다시봐도 수호지대 들어갔다가 칼로스 이펙트 보이면
4초후에 그로기가 걸린다는데 저는 아무리해도 수호지대있다가 화면공격기 보이고나서 애가 찍기하면서 죽는데
이거 제가 뭐 잘못하는게 있나요? 영상으로 봤을때는 전혀 잘못하고있는게 없는데 말이에요",https://www.inven.co.kr/board/maple/2300/358561
(뉴비) 비숍 진힐라 잡을때 오버러드 마나 켜요?,,2026-07-01 00:12,"오버러드 마나 엔젤레이 쓰니까 마나가 쭉쭉빠지는데
오리진 갈길때만 켜놓는건가용?",https://www.inven.co.kr/board/maple/2300/358560
카에유잠만 파려는데,,2026-06-30 23:54,얼마정도가 적당할까요,https://www.inven.co.kr/board/maple/2300/358559
거탐 및 돌아가는 화살표 룬 찍계 문의,버프프리져,2026-06-30 23:17,요즘 챌섭에서 채집이랑 사냥하고 본섭와서 본캐로 사냥하는데 며칠전에 채집하는데 갑자기 화살표가 돌아가길래 패치 매크로 방지 패치했나 싶었는데 본섭와서 사냥하는데 룬해방 하려는데 뜰 때부터 뭐가 불쾌하길래 찾아봤는데 찍계라고 매크로 의심 받는다는데 한적이 없는데 어떻게 해결 방법이 있을까요 ㅠㅠ,https://www.inven.co.kr/board/maple/2300/358558
챌섭 복귀 유저 질문,찐빵다이스키,2026-06-30 23:05,"옜날에 일리움 키웠고 지금 챌섭에서 보마 키우고 있습니다
일리움한테 인트템이 좀 군대 군대 있는데(레에~레유) 요즘 인트 템이 비싸다는데 이거 팔고 보마 템 맞출 수 있을까요?",https://www.inven.co.kr/board/maple/2300/358557
대적자코인 질문해요,,2026-06-30 23:02,"본섭에서 제네플러스 사서 코인받은다음에
그 코인을 챌섭에서 사용할수있나요??",https://www.inven.co.kr/board/maple/2300/358556
챌섭 템셋팅 질문입니다!,백마충,2026-06-30 22:53,"환산 2.6 챌섭 복귀 유저 입니다
토큰 우선순위를 잘 모르겠어서 질문드립니다!
1. 레전 잠재 사서 이벤링 드메 맞춰주기
2. 유니크 잠재 사서 여명 2개 유니크 맞춰주기",https://www.inven.co.kr/board/maple/2300/358555
미트라 vs 크뎀장갑,돼지색히2,2026-06-30 22:52,오래한다는 기준으로 60미트라 vs 에테 22성 크크주,https://www.inven.co.kr/board/maple/2300/358554
재업) 루컨마 럭170급인데 사는 사람이 있을까요?,,2026-06-30 22:25,이거 잠재때매 애매해서요,https://www.inven.co.kr/board/maple/2300/358553
고민!,달콤한롤리팝,2026-06-30 21:54,"5년전쯤인가 268카이저를 키우다 접었습니다.
그런데 지금 복귀하고 싶은데 보니까 해방도 떠먹여주고 많이 좋아졌는데
지금...제가 현재 카이저를 버리고 새카이저를 챌섭에서  키워야될지 아니면 본섭 카이저에게 280버닝을 부여하고 제네시스 패스를 사서 해방하는게 좋을지 고민이에요...
어떻게 하면 좋을까요...? 정든 캐릭터긴하지만... 성장이 더 좋은? 효율적인? 쪽으로 조언부탁드려요...
268카이저 스펙은 대충 2000만인것 같습니다....",https://www.inven.co.kr/board/maple/2300/358552
쌍드템 가격이 얼마가 정가일까요,메짱롤대남,2026-06-30 21:52,"마이스터 이어링 샀는데 제가 끼다가 나중에 돈모이면 팔고 업글하려고합니다
가횟 8남았고 22성이고 법사매물이에오.",https://www.inven.co.kr/board/maple/2300/358551
그런데요 크오솔 스인미 이런거 언제 강화해요 ?,너희들의왕,2026-06-30 21:50,"코강전부다 하고 올리라는 글들이많은데
코강 전부 다 했다는게 어떤상태를말씀들 하시는건지 종잡을수가없어요
직업 / 강화 / 공용 / 쓸심 까지는 이해했는데요
공용부분에서
쓸만한 스킬들 전부다 마스터를해야 코강전부다했다고 표현하는건가요 ?
아니면 공용코어 [극딜시퀀스 올릴꺼랑 외로 노바,의지,샤워,로프,파운틴 정도] 만 올려둔걸
코강 전부다 했다고 표현하는건가요 ?",https://www.inven.co.kr/board/maple/2300/358550
데카아웃 클리어 질문,Dmmhnd,2026-06-30 21:22,"보스 데카아웃 되고 클리어 인정이 안되면
버스기사 무한증식한다는 건 알겠는데
그럼 데카아웃 된 사람도 보상을
같이 먹으면 문제 없는 거 아닌가요
이것도 어려우면 데카아웃 됐을 때 보상 하나도 못 먹고
도전 기회도 날아간다고 경고 문구라도 보여줘야지
어제부터 검마 10시간 정도 트라이해서 오늘 3인팟으로 깼는데
이런 줄 알았으면 그냥 6인 딜찍이라도 했지
흔적만 들어와도 만족할텐데 아무것도 안 주고
기회만 사라지니까 진짜 거지같네요",https://www.inven.co.kr/board/maple/2300/358549
미트라 있는데 흙칠흑 하나 박아서 2칠흑 박는거 효율,,2026-06-30 21:14,"챌섭 미트라 쓰고있는데 2셋옵이 보공이길래
칠흑중에 싼편인 루컨마 17성 카유잠 발라서 셋옵 받을겸
직작하는거 효율 괜찮나요? 이번챌섭 헥환 4.8정도까지
올리려고 합니다",https://www.inven.co.kr/board/maple/2300/358548
