term_id,canonical_term,aliases,category,source,version
TERM_001,잠재,,아이템,inven,v1
TERM_002,미트라,,아이템,inven,v1
TERM_003,제네무기,제네 무기,아이템,inven,v1
TERM_004,보조,,아이템,inven,v1
TERM_005,에디,,아이템,inven,v1
TERM_006,큐브,,아이템,inven,v1
TERM_007,윗잠,,아이템,inven,v1
TERM_008,템세팅,,아이템,inven,v1
TERM_009,레전,,아이템,inven,v1
TERM_010,코인,,아이템,inven,v1
TERM_011,에테,,아이템,inven,v1
TERM_012,18성,,아이템,inven,v1
TERM_013,대적자,,아이템,inven,v1
TERM_014,해방무기,해방 무기,아이템,inven,v1
TERM_015,블큐,,아이템,inven,v1
TERM_016,유니크,,아이템,inven,v1
TERM_017,칠흑,,아이템,inven,v1
TERM_018,보조무기,보조 무기,아이템,inven,v1
TERM_019,아랫잠,,아이템,inven,v1
TERM_020,장갑,,아이템,inven,v1
TERM_021,템셋,,아이템,inven,v1
TERM_022,방어구,,아이템,inven,v1
TERM_023,화에큐,,아이템,inven,v1
TERM_024,엠블렘,,아이템,inven,v1
TERM_025,17성,,아이템,inven,v1
TERM_026,드메템,,아이템,inven,v1
TERM_027,이벤링,,아이템,inven,v1
TERM_028,카레잠,,아이템,inven,v1
TERM_029,직작,,아이템,inven,v1
TERM_030,여명,,아이템,inven,v1
TERM_031,미라클,,아이템,inven,v1
TERM_032,레잠,,아이템,inven,v1
TERM_033,등업,,아이템,inven,v1
TERM_034,도미,,아이템,inven,v1
TERM_035,제네 무기,제네무기,아이템,inven,v1
TERM_036,에픽,,아이템,inven,v1
TERM_037,대적자코인,대적자 코인,아이템,inven,v1
TERM_038,마깃안,,아이템,inven,v1
TERM_039,깡통,,아이템,inven,v1
TERM_040,블랙보조,블랙 보조,아이템,inven,v1
TERM_041,주문서,,아이템,inven,v1
TERM_042,파풀마,,아이템,inven,v1
TERM_043,루컨마,,아이템,inven,v1
TERM_044,카르마,,아이템,inven,v1
TERM_045,블빈마,,아이템,inven,v1
TERM_046,마도서,,아이템,inven,v1
TERM_047,메멘토,,아이템,inven,v1
TERM_048,코인샵,,아이템,inven,v1
TERM_049,아스트라,,아이템,inven,v1
TERM_050,제논,,직업,inven,v1
TERM_051,썬콜,,직업,inven,v1
TERM_052,아란,,직업,inven,v1
TERM_053,제로,,직업,inven,v1
TERM_054,캡틴,,직업,inven,v1
TERM_055,카데나,,직업,inven,v1
TERM_056,일리움,,직업,inven,v1
TERM_057,육성,,직업,inven,v1
TERM_058,6차,,직업,inven,v1
TERM_059,키네,,직업,inven,v1
TERM_060,나워,,직업,inven,v1
TERM_061,나로,,직업,inven,v1
TERM_062,아크,,직업,inven,v1
TERM_063,레벨링,,직업,inven,v1
TERM_064,카인,,직업,inven,v1
TERM_065,플위,,직업,inven,v1
TERM_066,블래스터,,직업,inven,v1
TERM_067,링크3렙,링크 3렙,직업,inven,v1
TERM_068,섀도어,,직업,inven,v1
TERM_069,배메,,직업,inven,v1
