term_id,canonical_term,category,matched_document_count
TERM_004,보조,아이템,377
TERM_005,에디,아이템,337
TERM_009,레전,아이템,305
TERM_002,미트라,아이템,284
TERM_007,윗잠,아이템,274
TERM_001,잠재,아이템,264
TERM_006,큐브,아이템,260
TERM_012,18성,아이템,237
TERM_011,에테,아이템,224
TERM_010,코인,아이템,222
TERM_030,여명,아이템,203
TERM_016,유니크,아이템,195
TERM_003,제네무기,아이템,190
TERM_035,제네 무기,아이템,190
TERM_013,대적자,아이템,174
TERM_036,에픽,아이템,166
TERM_025,17성,아이템,156
TERM_017,칠흑,아이템,137
TERM_032,레잠,아이템,124
TERM_021,템셋,아이템,123
TERM_031,미라클,아이템,118
TERM_019,아랫잠,아이템,116
TERM_020,장갑,아이템,116
TERM_029,직작,아이템,109
TERM_008,템세팅,아이템,106
TERM_015,블큐,아이템,105
TERM_023,화에큐,아이템,101
TERM_018,보조무기,아이템,97
TERM_024,엠블렘,아이템,92
TERM_014,해방무기,아이템,89
TERM_033,등업,아이템,86
TERM_027,이벤링,아이템,81
TERM_022,방어구,아이템,78
TERM_041,주문서,아이템,78
TERM_037,대적자코인,아이템,77
TERM_040,블랙보조,아이템,75
TERM_034,도미,아이템,70
TERM_039,깡통,아이템,70
TERM_048,코인샵,아이템,69
TERM_026,드메템,아이템,61
TERM_028,카레잠,아이템,57
TERM_050,제논,직업,53
TERM_051,썬콜,직업,52
TERM_045,블빈마,아이템,49
TERM_053,제로,직업,45
TERM_047,메멘토,아이템,44
TERM_046,마도서,아이템,43
TERM_043,루컨마,아이템,43
TERM_057,육성,직업,43
TERM_042,파풀마,아이템,42
TERM_044,카르마,아이템,41
TERM_038,마깃안,아이템,39
TERM_052,아란,직업,36
TERM_049,아스트라,아이템,29
TERM_058,6차,직업,29
TERM_054,캡틴,직업,24
TERM_059,키네,직업,21
TERM_056,일리움,직업,20
TERM_055,카데나,직업,19
TERM_062,아크,직업,19
TERM_061,나로,직업,12
TERM_064,카인,직업,11
TERM_060,나워,직업,10
TERM_065,플위,직업,10
TERM_067,링크3렙,직업,9
TERM_068,섀도어,직업,9
TERM_063,레벨링,직업,8
TERM_066,블래스터,직업,6
TERM_069,배메,직업,6
