created_at,views,likes,category_clean,title_clean,content_clean,matched_term_ids,matched_terms,matched_categories,matched_expressions,match_count,is_matched
2026-08-14,0,0,직업,유뇬작이랑 링크작하려는데,목표는 유뇬 8000++인데 테라/메가 버닝 부스터에 챌섭 2자리 정도 남아서 사냥 힘든애들 거기서 키우려는데 님들은 200작하면서 사냥하는거 누가 제일 힘들었었음??,,,,,0,False
2026-08-14,0,0,직업,부케소마 214 200 짜리두마리인데,부케 소마가 두마리인데 214 200 짜리 히어로키우고싶어서 근대 케릭터창 자리가없는데 1나지워도 지장없죠 ??,,,,,0,False
2026-08-14,0,0,아이템,템 가격좀 책정해주실분 계신가요ㅠㅠ,안녕하세요 메린이 질문드립니다..! 혹시 이 템은 팔려고하면 얼마정도가 적정가일까요?,,,,,0,False
2026-08-14,0,0,기타,컴터 자꾸 팅겨여,8기가램이라 그런가 이거 최적화 방법있나여,,,,,0,False
2026-08-14,0,0,아이템,어떤게 더 좋은가요 직업운 렌입니다,원래눈 왼쪽옵션인데 오른쪽이 떴습니다 어떤게 더 좋을까요,,,,,0,False
2026-08-14,0,0,기타,동전꼽기가 운영정책 위반인지 여부,"메이플 인게임 자체 필터키 기능을 활성화한 상태에서 shift키에 5~10초 쿨타임을 가진 스킬을 등록한 다음, 동꼽으로 키보드 오른쪽 shift키의 눌림 상태를 유지하도록 하고, 그 상태에서 왼쪽 shift키를 2~3번 연타하면 제자리 1분 방지 룰을 무시하고 동꼽이 8분 이상 유지됩니다. 원래 캐릭터가 제자리에서 1분 이상 동일한 스킬을 반복하는 경우 스킬 사용이 중단되지만, 위 방법으로는 스킬의 시전횟수가 100회에 도달할 때까지 유지되는 것으로 보입니다. * *가령 쿨타임이 5초인 경우에는 5×100=500초(8분 20초)간 지속, 7초인 경우에는 7×100=700초(11분 40초)간 지속 위와 같은 플레이가 문제될 수 있을까요? 아니면, 이미 유저들이 널리 사용하고 있는 방법일까요? 첨언해서 위 게임 플레이 방식이 “권장되지 않는 플레이 방식”인지를 고객센터에 문의했을 때 “운영정책과 관련된 내용에 대해서는 명확하게 안내하기 어렵다”는 취지의 답변을 받았습니다. 따라서 일단 대다수 유저가 위 방식을 사용하고 있다면 큰 문제는 없을 것으로 생각되므로 질문 글을 남깁니다. [2026.8.14.18:15 추가] 질문 내용은, 단순히 동꼽이 운영정책 위반인지 가 아니라, 위와 같이 인게임 필터키(스킬반복입력향상)+shift키+짧쿨 스킬을 조합해서 사용했을 때 동꼽이 8분 이상 유지되는 것이 문제될 수 있는가 하는 것입니다. 일반적으로 단순 동꼽은 1분 이상 유지되지 않습니다.",,,,,0,False
2026-08-14,0,0,아이템,쿨뚝 샀는데 괜찮게 산걸까요?,관세 별도 75억주고 일단 샀는데 괜찮게 산건지 모르겠습니다 ㅜ,,,,,0,False
2026-08-14,0,0,몬스터,"하드메이린 환산 오르는거 평딜,준극이랑 오리진이랑 비슷하면",최소컷 깨려고할때 둘중 어떤거 올리는게 이득인가요?,,,,,0,False
2026-08-14,0,0,아이템,이번 마라벨 풀셋 가격?,피스 부위별 선택가능하고 마라벨 확률 올라간다했는데 그럼 풀셋 가격 어느정도 일까요? 저번마라벨은 풀셋얼마였나요?,,,,,0,False
2026-08-14,0,0,아이템,플라즈마 하트 스페어 질문,"이번 챌섭부터 챌린저스 티어 보상으로 플라즈마 하트를 주는데, 그럼 이지 카링 잡았을때 주는 플라즈마 하트 강화권이 남는단 말이죠? 그럼 이걸 이벤트 출석보상으로 주는 페어리하트에 발라서 스페어로 사용가능할까요? 이번에 전례없던 일이라 가능한지 모르겠네요 혹시 해보신분들있나요?",,,,,0,False
