term,ngram_n,document_frequency,title_document_frequency,weighted_frequency,아이템,퀘스트,몬스터,직업,시세,기타,dominant_category,category_purity,category_confidence,score,example_1,example_2,example_3
챌섭,1,703,303,1274,390,8,8,43,22,232,아이템,0.5547652916073968,0.32950152784120884,11.8341346726664,헥환 8만 목표 과금 어느정도 해야할까요?,유뇬작이랑 링크작하려는데,뉴비 아버 템 대체질문
잠재,1,196,82,324,178,1,0,1,2,14,아이템,0.9081632653061225,0.7934673959887694,11.01807214589846,제네 추옵 윗잠 밑잠 중 우선 순위 부탁드립니다.,에테 18성 직작 vs 완작사기,초저자본 메린이 첫 제네시스 잠재 질문
미트라,1,263,68,467,233,1,2,3,4,20,아이템,0.8859315589353612,0.7224330193606485,10.901879547805171,헥환 8만 목표 과금 어느정도 해야할까요?,칠흑 보통 얼마정도 하나요?,환산 7~8만 목푠데 다음 메소를 어디다 써야 해야할까요?
스펙업,1,227,107,431,184,1,4,7,2,29,아이템,0.8105726872246696,0.6025752387261201,10.461305260932168,메고수 형님들 해방무기 질문입니다!!,100억 정도 있는디,챌섭 챌린저 목표 템셋팅 관련 질문입니다.
제네무기,1,158,67,247,141,0,1,2,0,14,아이템,0.8924050632911392,0.7971626187454844,10.320555260539727,제네무기 에디 고민 유니크 15 vs 레전 등업,제네무기 추옵이랑 에디 건드려야할까요 ?,메고수 형님들 해방무기 질문입니다!!
보조,1,253,69,437,221,0,1,7,11,13,아이템,0.8735177865612648,0.6374231978806215,10.31161998900216,헥환 8만 목표 과금 어느정도 해야할까요?,유챔 하드 세렌급 보조 스펙 질문 있습니다!,레테 보조 질문드립니다..
에디,1,229,51,392,201,0,2,1,8,17,아이템,0.8777292576419214,0.6864467323495286,10.02106238302919,헥환 8만 목표 과금 어느정도 해야할까요?,제네무기 에디 고민 유니크 15 vs 레전 등업,하메 도전 메린이 인데 템셋 질문있슴다
큐브,1,170,39,262,158,1,0,2,0,9,아이템,0.9294117647058824,0.8348739146801413,9.937453884328223,헥환 8만 목표 과금 어느정도 해야할까요?,제네무기 어디를 건드려야 될까요?,코인샵 코인 어디에 쓸까요?
윗잠,1,244,41,377,220,0,1,2,11,10,아이템,0.9016393442622951,0.6908346565679416,9.865871354335114,헥환 8만 목표 과금 어느정도 해야할까요?,제네 추옵 윗잠 밑잠 중 우선 순위 부탁드립니다.,메린이 해방무기 윗잠 질문
템세팅,1,95,67,177,86,0,0,1,0,8,아이템,0.9052631578947369,0.8418400963255994,9.524283054234537,선생님들 헥사환산 몇을 목표로 잡아야할까요?,메린이 익스우 템세팅 질문,100억으로 템세팅 질문
레전,1,177,25,273,162,0,0,1,2,12,아이템,0.9152542372881356,0.8249541183147523,9.349795522638079,제네무기 에디 고민 유니크 15 vs 레전 등업,템 가성비 셋팅 질문,핵환 4.4 도미먹었는디
