,videoId,text,likeCount,published
898,FMUmSNtWlEU,지금 막 시작했는대 메인 퀘 다스킵하기가 안대던대 왜그런건가요,1,2026-08-12 22:58:31+00:00
1,mQo4xmzyIgY,근대 지금 메이플 키워도 좋을까요?,0,2026-08-12 20:50:49+00:00
8435,f92dfu0biJI,아 지금은 자석펫을 못받는구나 끝낫구나,0,2026-08-12 20:35:33+00:00
1276,9saj1Kg7S1I,챌섭 테라버닝은 260힘들던데요 다음챌섭 기다려야될듯합니다  본섭에 기반이 있어서 메리트가 없네요 이제ㆍ,1,2026-08-12 08:44:58+00:00
899,FMUmSNtWlEU,영상 참고해서 오늘 260됐네요 ㅋㅋ,1,2026-08-11 23:38:51+00:00
2,mQo4xmzyIgY,저어 .. 응애인데요ㅠㅠ 하이퍼가 조금조금 성장하고보면 계속 스탯이 바뀌는데 그때마다 초기화 해야할까요 ㅠㅠ? 막 공마8까지 올리라고해서 올렸다가 나중에 다시보면 6으로 바뀌고 다른게 올라가져 있어서요 ㅠㅠ,2,2026-08-11 18:55:20+00:00
5,mQo4xmzyIgY,레테스킬에는 방무가 있던데 그래도 따로 방무가필요할까요?,1,2026-08-11 18:37:26+00:00
1277,9saj1Kg7S1I,일단 280까지 찍고 영상처럼 옵션작하면 되는 건가요??,1,2026-08-11 16:23:24+00:00
8,mQo4xmzyIgY,"드메템 없으면 그냥 채집 
겁나게 하면 됨. 
저는 그냥 패스권 다 사고 
시간 나는대로 채집만 
겁나 했음. 제네 무기 
쌍레 5줄 빨리 나오면 
진짜 쾌적함. 
저는 엠블은 겁나게 
비싸서 그냥 보조 
쌍레 5줄 먼저 샀는데 
확실히 세짐",1,2026-08-11 15:10:45+00:00
9,mQo4xmzyIgY,내실 필요해주시면 감사하겠습니다,1,2026-08-11 15:06:40+00:00
8,oHLCAyjxywA,@01:34 맑음님 이름은 지훈,1,2026-08-11 14:50:51+00:00
11,mQo4xmzyIgY,"템화6.7이면 전투력이 2억이나 나와요?

패파라서그런가 템환6.7로 1.4억이던데",1,2026-08-11 13:57:16+00:00
12,mQo4xmzyIgY,내실필요해요!,1,2026-08-11 13:14:20+00:00
15,mQo4xmzyIgY,내실도 해줘,1,2026-08-11 12:31:00+00:00
10,oHLCAyjxywA,또 나만 안뜨지 에픽빔…,0,2026-08-11 12:22:17+00:00
18,mQo4xmzyIgY,"선생님의 영상에 도움을 받아
메린이가 마침내 챌린저 달성했어요
그런데 이제부터 뭘 하면 좋을지 모르겠어요",2,2026-08-11 12:20:51+00:00
