videoId,text,likeCount,published,text_raw,text_clean,tokens,is_question,question_category,question_confidence,llm_error,classification_source
FMUmSNtWlEU,지금 막 시작했는대 메인 퀘 다스킵하기가 안대던대 왜그런건가요,1,2026-08-12 22:58:31+00:00,지금 막 시작했는대 메인 퀘 다스킵하기가 안대던대 왜그런건가요,지금 막 시작했는대 메인 퀘 다스킵하기가 안대던대 왜그런건가요,"['시작', '메인', '퀘', '다스', '킵', '대', '거']",True,시스템,1.0,,
mQo4xmzyIgY,근대 지금 메이플 키워도 좋을까요?,0,2026-08-12 20:50:49+00:00,근대 지금 메이플 키워도 좋을까요?,근대 지금 메이플 키워도 좋을까요?,"['근대', '메이플', '키우', '좋']",True,육성_레벨링,1.0,,
f92dfu0biJI,아 지금은 자석펫을 못받는구나 끝낫구나,0,2026-08-12 20:35:33+00:00,아 지금은 자석펫을 못받는구나 끝낫구나,아 지금은 자석펫을 못받는구나 끝낫구나,"['지금', '자석펫', '받', '끝나']",False,해당없음,1.0,,
9saj1Kg7S1I,챌섭 테라버닝은 260힘들던데요 다음챌섭 기다려야될듯합니다  본섭에 기반이 있어서 메리트가 없네요 이제ㆍ,1,2026-08-12 08:44:58+00:00,챌섭 테라버닝은 260힘들던데요 다음챌섭 기다려야될듯합니다  본섭에 기반이 있어서 메리트가 없네요 이제ㆍ,챌섭 테라버닝은 260힘들던데요 다음챌섭 기다려야될듯합니다 본섭에 기반이 있어서 메리트가 없네요 이제,"['챌섭', '테라버닝', '힘들', '다음챌섭', '기다리', '되', '듯', '본섭', '기반', '있', '메리트', '없']",False,해당없음,1.0,,
FMUmSNtWlEU,영상 참고해서 오늘 260됐네요 ㅋㅋ,1,2026-08-11 23:38:51+00:00,영상 참고해서 오늘 260됐네요 ㅋㅋ,영상 참고해서 오늘 260됐네요 ㅋㅋ,"['영상', '참고', '오늘', '되']",False,해당없음,1.0,,
mQo4xmzyIgY,저어 .. 응애인데요ㅠㅠ 하이퍼가 조금조금 성장하고보면 계속 스탯이 바뀌는데 그때마다 초기화 해야할까요 ㅠㅠ? 막 공마8까지 올리라고해서 올렸다가 나중에 다시보면 6으로 바뀌고 다른게 올라가져 있어서요 ㅠㅠ,2,2026-08-11 18:55:20+00:00,저어 .. 응애인데요ㅠㅠ 하이퍼가 조금조금 성장하고보면 계속 스탯이 바뀌는데 그때마다 초기화 해야할까요 ㅠㅠ? 막 공마8까지 올리라고해서 올렸다가 나중에 다시보면 6으로 바뀌고 다른게 올라가져 있어서요 ㅠㅠ,저어 응애인데요ㅠㅠ 하이퍼가 조금조금 성장하고보면 계속 스탯이 바뀌는데 그때마다 초기화 해야할까요 ㅠㅠ? 막 공마8까지 올리라고해서 올렸다가 나중에 다시보면 6으로 바뀌고 다른게 올라가져 있어서요 ㅠㅠ,"['젓', '애', '하이퍼', '성장', '스탯', '바뀌', '그때', '초기', '공마', '올리', '하', '올리', '나중', '보', '바뀌', '것', '올라가']",True,육성_레벨링,1.0,,
mQo4xmzyIgY,레테스킬에는 방무가 있던데 그래도 따로 방무가필요할까요?,1,2026-08-11 18:37:26+00:00,레테스킬에는 방무가 있던데 그래도 따로 방무가필요할까요?,레테스킬에는 방무가 있던데 그래도 따로 방무가필요할까요?,"['레테', '스킬', '방무', '있', '방', '무', '필요']",True,스펙업,1.0,,
9saj1Kg7S1I,일단 280까지 찍고 영상처럼 옵션작하면 되는 건가요??,1,2026-08-11 16:23:24+00:00,일단 280까지 찍고 영상처럼 옵션작하면 되는 건가요??,일단 280까지 찍고 영상처럼 옵션작하면 되는 건가요??,"['찍', '영상', '옵션', '작', '되', '거']",True,육성_레벨링,1.0,,
mQo4xmzyIgY,"드메템 없으면 그냥 채집 
겁나게 하면 됨. 
저는 그냥 패스권 다 사고 
시간 나는대로 채집만 
겁나 했음. 제네 무기 
쌍레 5줄 빨리 나오면 
진짜 쾌적함. 
저는 엠블은 겁나게 
비싸서 그냥 보조 
쌍레 5줄 먼저 샀는데 
확실히 세짐",1,2026-08-11 15:10:45+00:00,"드메템 없으면 그냥 채집 
겁나게 하면 됨. 
저는 그냥 패스권 다 사고 
시간 나는대로 채집만 
겁나 했음. 제네 무기 
쌍레 5줄 빨리 나오면 
진짜 쾌적함. 
저는 엠블은 겁나게 
비싸서 그냥 보조 
쌍레 5줄 먼저 샀는데 
확실히 세짐",드메템 없으면 그냥 채집 겁나게 하면 됨 저는 그냥 패스권 다 사고 시간 나는대로 채집만 겁나 했음 제네 무기 쌍레 5줄 빨리 나오면 진짜 쾌적함 저는 엠블은 겁나게 비싸서 그냥 보조 쌍레 5줄 먼저 샀는데 확실히 세짐,"['드메템', '없', '채집', '겁나', '되', '패스', '사', '시간', '나', '대로', '채집', '겁나', '무기', '쌍', '레', '줄', '나오', '엠블', '겁나', '비싸', '보조', '쌍', '레', '줄', '사', '세']",False,해당없음,1.0,,
mQo4xmzyIgY,내실 필요해주시면 감사하겠습니다,1,2026-08-11 15:06:40+00:00,내실 필요해주시면 감사하겠습니다,내실 필요해주시면 감사하겠습니다,"['내', '필요', '감사']",False,해당없음,0.95,,
