videoId,text,likeCount,published,text_raw,text_clean,is_question,question_category,question_confidence,llm_error,classification_source,result_origin
FMUmSNtWlEU,"우와 벌써 260 찍으셨군여, 고생 많으셨어여!👍",0,2026-08-12 09:26:34+00:00,"우와 벌써 260 찍으셨군여, 고생 많으셨어여!👍",우와 벌써 260 찍으셨군여 고생 많으셨어여,,,,,,
mQo4xmzyIgY,​@아무거나-g6k네! 감사합니다 !!!!!!❤,0,2026-08-12 04:29:56+00:00,​@아무거나-g6k네! 감사합니다 !!!!!!❤,감사합니다,,,,,,
mQo4xmzyIgY,무조건 방무 바꾸는거는 아니에여 환산에서 스텟효율보고 바꾸는거에여🎉,0,2026-08-11 22:27:33+00:00,무조건 방무 바꾸는거는 아니에여 환산에서 스텟효율보고 바꾸는거에여🎉,무조건 방무 바꾸는거는 아니에여 환산에서 스텟효율보고 바꾸는거에여,,,,,,
mQo4xmzyIgY,방무가 잡옵되는 순간이 에테르넬 풀셋하고 칠흑 풀셋에 유챔까지 전부 하는 고인물 유저기준이에영 챌섭은 버프로 방무가 빠방하니까 챌섭에서는 방무 1줄 추가말고 본섭가서 환산주스텟에서 방무 30퍼랑 마력 9퍼 효율 비교해보고 하시면 되세영 환산보고 바꾸는게 최선이에요,0,2026-08-11 22:24:14+00:00,방무가 잡옵되는 순간이 에테르넬 풀셋하고 칠흑 풀셋에 유챔까지 전부 하는 고인물 유저기준이에영 챌섭은 버프로 방무가 빠방하니까 챌섭에서는 방무 1줄 추가말고 본섭가서 환산주스텟에서 방무 30퍼랑 마력 9퍼 효율 비교해보고 하시면 되세영 환산보고 바꾸는게 최선이에요,방무가 잡옵되는 순간이 에테르넬 풀셋하고 칠흑 풀셋에 유챔까지 전부 하는 고인물 유저기준이에영 챌섭은 버프로 방무가 빠방하니까 챌섭에서는 방무 1줄 추가말고 본섭가서 환산주스텟에서 방무 30퍼랑 마력 9퍼 효율 비교해보고 하시면 되세영 환산보고 바꾸는게 최선이에요,,,,,,
mQo4xmzyIgY,"알겠습니당, 조만간 관련 내용으로 정리해서 가져올게요!",0,2026-08-11 22:05:33+00:00,"알겠습니당, 조만간 관련 내용으로 정리해서 가져올게요!",알겠습니당 조만간 관련 내용으로 정리해서 가져올게요,,,,,,
9saj1Kg7S1I,옵션작은 장신구만 천천히 환불 있을때 하시면 되세영,1,2026-08-11 22:05:03+00:00,옵션작은 장신구만 천천히 환불 있을때 하시면 되세영,옵션작은 장신구만 천천히 환불 있을때 하시면 되세영,,,,,,
mQo4xmzyIgY,보스가 안 깨지시거나 스펙업 수단이 없을 때만 해주시면 될 거예요!,2,2026-08-11 19:14:13+00:00,보스가 안 깨지시거나 스펙업 수단이 없을 때만 해주시면 될 거예요!,보스가 안 깨지시거나 스펙업 수단이 없을 때만 해주시면 될 거예요,,,,,,
mQo4xmzyIgY,@DDUDUDDUDU 인생 낭비가 아닌 취미가 있나? 뭐든 돈과 시간을 쓸텐데 대체 어떤 취미가 인생 낭비가 아님??,0,2026-08-11 16:54:51+00:00,@DDUDUDDUDU 인생 낭비가 아닌 취미가 있나? 뭐든 돈과 시간을 쓸텐데 대체 어떤 취미가 인생 낭비가 아님??,인생 낭비가 아닌 취미가 있나? 뭐든 돈과 시간을 쓸텐데 대체 어떤 취미가 인생 낭비가 아님??,,,,,,
mQo4xmzyIgY,@DDUDUDDUDU사람마다 생각이 다른거죠..😅,0,2026-08-11 15:18:52+00:00,@DDUDUDDUDU사람마다 생각이 다른거죠..😅,생각이 다른거죠,,,,,,
mQo4xmzyIgY,메이플 꾸준히 하기에는 인생낭비임 그냥 방학때 한번씩 하다 몇년에 한번씩 돌아오기좋음,1,2026-08-11 15:15:46+00:00,메이플 꾸준히 하기에는 인생낭비임 그냥 방학때 한번씩 하다 몇년에 한번씩 돌아오기좋음,메이플 꾸준히 하기에는 인생낭비임 그냥 방학때 한번씩 하다 몇년에 한번씩 돌아오기좋음,,,,,,
