videoId,text,likeCount,published,text_raw,text_clean,tokens,is_question,question_category,question_confidence,llm_error,classification_source
FMUmSNtWlEU,지금 막 시작했는대 메인 퀘 다스킵하기가 안대던대 왜그런건가요,1,2026-08-12 22:58:31+00:00,지금 막 시작했는대 메인 퀘 다스킵하기가 안대던대 왜그런건가요,지금 막 시작했는대 메인 퀘 다스킵하기가 안대던대 왜그런건가요,"['시작', '메인', '퀘', '다스', '킵', '대', '거']",True,시스템,1.0,,
mQo4xmzyIgY,근대 지금 메이플 키워도 좋을까요?,0,2026-08-12 20:50:49+00:00,근대 지금 메이플 키워도 좋을까요?,근대 지금 메이플 키워도 좋을까요?,"['근대', '메이플', '키우', '좋']",True,육성_레벨링,1.0,,
mQo4xmzyIgY,저어 .. 응애인데요ㅠㅠ 하이퍼가 조금조금 성장하고보면 계속 스탯이 바뀌는데 그때마다 초기화 해야할까요 ㅠㅠ? 막 공마8까지 올리라고해서 올렸다가 나중에 다시보면 6으로 바뀌고 다른게 올라가져 있어서요 ㅠㅠ,2,2026-08-11 18:55:20+00:00,저어 .. 응애인데요ㅠㅠ 하이퍼가 조금조금 성장하고보면 계속 스탯이 바뀌는데 그때마다 초기화 해야할까요 ㅠㅠ? 막 공마8까지 올리라고해서 올렸다가 나중에 다시보면 6으로 바뀌고 다른게 올라가져 있어서요 ㅠㅠ,저어 응애인데요ㅠㅠ 하이퍼가 조금조금 성장하고보면 계속 스탯이 바뀌는데 그때마다 초기화 해야할까요 ㅠㅠ? 막 공마8까지 올리라고해서 올렸다가 나중에 다시보면 6으로 바뀌고 다른게 올라가져 있어서요 ㅠㅠ,"['젓', '애', '하이퍼', '성장', '스탯', '바뀌', '그때', '초기', '공마', '올리', '하', '올리', '나중', '보', '바뀌', '것', '올라가']",True,육성_레벨링,1.0,,
mQo4xmzyIgY,레테스킬에는 방무가 있던데 그래도 따로 방무가필요할까요?,1,2026-08-11 18:37:26+00:00,레테스킬에는 방무가 있던데 그래도 따로 방무가필요할까요?,레테스킬에는 방무가 있던데 그래도 따로 방무가필요할까요?,"['레테', '스킬', '방무', '있', '방', '무', '필요']",True,스펙업,1.0,,
9saj1Kg7S1I,일단 280까지 찍고 영상처럼 옵션작하면 되는 건가요??,1,2026-08-11 16:23:24+00:00,일단 280까지 찍고 영상처럼 옵션작하면 되는 건가요??,일단 280까지 찍고 영상처럼 옵션작하면 되는 건가요??,"['찍', '영상', '옵션', '작', '되', '거']",True,육성_레벨링,1.0,,
mQo4xmzyIgY,"템화6.7이면 전투력이 2억이나 나와요?

패파라서그런가 템환6.7로 1.4억이던데",1,2026-08-11 13:57:16+00:00,"템화6.7이면 전투력이 2억이나 나와요?

패파라서그런가 템환6.7로 1.4억이던데",템화6 7이면 전투력이 2억이나 나와요? 패파라서그런가 템환6 7로 1 4억이던데,"['템', '전투력', '나오', '패파', '그렇', '템환']",True,스펙업,0.95,,
mQo4xmzyIgY,내실도 해줘,1,2026-08-11 12:31:00+00:00,내실도 해줘,내실도 해줘,"['내실', '하']",True,육성_레벨링,0.9,,
mQo4xmzyIgY,"선생님의 영상에 도움을 받아
메린이가 마침내 챌린저 달성했어요
그런데 이제부터 뭘 하면 좋을지 모르겠어요",2,2026-08-11 12:20:51+00:00,"선생님의 영상에 도움을 받아
메린이가 마침내 챌린저 달성했어요
그런데 이제부터 뭘 하면 좋을지 모르겠어요",선생님의 영상에 도움을 받아 메린이가 마침내 챌린저 달성했어요 그런데 이제부터 뭘 하면 좋을지 모르겠어요,"['선생', '영상', '도움', '받', '메리', '이', '챌린저', '달성', '이제', '하', '좋', '모르']",True,육성_레벨링,1.0,,
oHLCAyjxywA,맑음님은 몇채널인지 공개하라 공개하라 !!!,2,2026-08-11 11:49:27+00:00,맑음님은 몇채널인지 공개하라 공개하라 !!!,맑음님은 몇채널인지 공개하라 공개하라,"['맑음', '채널', '공개', '공개']",True,기타,0.8,,
oHLCAyjxywA,브금이 너무 큰거같은데 나만 그런가..,0,2026-08-11 11:21:59+00:00,브금이 너무 큰거같은데 나만 그런가..,브금이 너무 큰거같은데 나만 그런가,"['브금', '크', '거', '같', '그렇']",True,시스템,0.95,,
