category,word,count,rank
기타,챌섭,350,1
기타,보스,139,2
기타,뉴비,135,3
기타,패스,128,4
기타,사냥,117,5
기타,시작,108,6
기타,본섭,104,7
기타,해방,97,8
기타,레벨,94,9
기타,메린,92,10
기타,복귀,82,11
기타,캐릭터,79,12
기타,레테,79,13
기타,메소,79,14
기타,궁금하,77,15
기타,이벤트,77,16
기타,방법,74,17
기타,챌린저,71,18
기타,보상,69,19
기타,리프,69,20
기타,캐릭,67,21
기타,이렇,66,22
기타,환산,66,23
기타,유니온,66,24
기타,효율,63,25
기타,만들,63,26
기타,감사,62,27
기타,서버,62,28
기타,직업,61,29
기타,알리,61,30
아이템,챌섭,505,1
아이템,무기,386,2
아이템,보조,352,3
아이템,미트라,260,4
아이템,뉴비,255,5
아이템,해방,253,6
아이템,에디,235,7
아이템,잠재,230,8
아이템,메린,221,9
아이템,큐브,206,10
아이템,메소,187,11
아이템,유니크,181,12
아이템,코인,174,13
아이템,세팅,158,14
아이템,에테,158,15
아이템,장신구,145,16
아이템,칠흑,143,17
아이템,조언,143,18
아이템,윗잠,141,19
아이템,보스,137,20
아이템,모으,135,21
아이템,챌린저,132,22
아이템,감사,128,23
아이템,가격,127,24
아이템,괜찮,127,25
아이템,레테,126,26
아이템,예정,121,27
아이템,부위,119,28
아이템,알리,118,29
아이템,옵션,118,30
퀘스트,해방,31,1
퀘스트,보스,21,2
퀘스트,퀘스트,18,3
퀘스트,챌섭,17,4
퀘스트,뉴비,14,5
퀘스트,패스,14,6
퀘스트,흔적,14,7
퀘스트,하드,13,8
퀘스트,제네시스,12,9
퀘스트,메린,10,10
퀘스트,제네패스,9,11
퀘스트,이벤트,9,12
퀘스트,미션,8,13
퀘스트,도전,8,14
퀘스트,진행,8,15
퀘스트,클리어,8,16
퀘스트,레벨,8,17
퀘스트,시작,7,18
퀘스트,채우,7,19
퀘스트,완료,7,20
퀘스트,에픽던전,7,21
퀘스트,진힐라,6,22
퀘스트,처음,6,23
퀘스트,본섭,6,24
퀘스트,모드,6,25
퀘스트,어둠,6,26
퀘스트,검마,6,27
퀘스트,울티마,6,28
퀘스트,주간,6,29
퀘스트,방법,6,30
직업,직업,122,1
직업,챌섭,113,2
직업,추천,90,3
직업,레테,77,4
직업,뉴비,66,5
직업,본캐,57,6
직업,보스,56,7
직업,시작,45,8
직업,복귀,43,9
직업,스킬,38,10
직업,본섭,38,11
직업,사냥,36,12
직업,보마,35,13
직업,아란,32,14
직업,제논,31,15
직업,괜찮,29,16
직업,캐릭,29,17
직업,유저,26,18
직업,해방,25,19
직업,보이,24,20
직업,알리,23,21
직업,아크,22,22
직업,어렵,22,23
직업,투자,22,24
직업,강화,22,25
직업,아델,22,26
직업,처음,21,27
직업,패스,20,28
직업,유채,20,29
직업,감사,20,30
시세,시세,53,1
시세,가격,37,2
시세,챌섭,31,3
시세,팔리,17,4
시세,뉴비,16,5
시세,보조,14,6
시세,경매장,12,7
시세,비싸,12,8
시세,메린,12,9
시세,궁금하,11,10
시세,에테,11,11
시세,에디,10,12
시세,윗잠,10,13
시세,알리,9,14
시세,매물,8,15
시세,본섭,8,16
시세,시작,8,17
시세,자석펫,8,18
시세,떨어지,8,19
시세,메소,8,20
시세,기준,7,21
시세,캐릭,7,22
시세,이렇,7,23
시세,스카니아,7,24
시세,자석,7,25
시세,장갑,6,26
시세,서버,6,27
시세,옥션,6,28
시세,직업,6,29
시세,올라오,6,30
몬스터,배율,40,1
몬스터,패턴,22,2
몬스터,보스,22,3
몬스터,극딜,20,4
몬스터,하드,19,5
몬스터,직업,16,6
몬스터,남기,15,7
몬스터,메이,15,8
몬스터,피하,15,9
몬스터,뉴비,14,10
몬스터,트라이,14,11
몬스터,처음,13,12
몬스터,도전,13,13
몬스터,하드메이린,12,14
몬스터,넘어가,12,15
몬스터,레테,12,16
몬스터,챌섭,12,17
몬스터,메린,12,18
몬스터,최소,11,19
몬스터,공략,10,20
몬스터,연습,10,21
몬스터,검마,10,22
몬스터,걸리,10,23
몬스터,세렌,10,24
몬스터,기준,9,25
몬스터,오리진,9,26
몬스터,힘들,9,27
몬스터,알리,9,28
몬스터,솔플,9,29
몬스터,영상,9,30
