word,general_count,general_rate,target_count,target_rate,rate_gap
챌섭,616,20.137299771167047,412,37.52276867030965,17.385468899142605
시작,84,2.745995423340961,167,15.209471766848818,12.463476343507857
해방,255,8.336057535142203,161,14.663023679417122,6.32696614427492
무기,303,9.905197777051324,156,14.207650273224044,4.3024524961727195
보조,260,8.499509643674404,155,14.116575591985429,5.617065948311025
보스,236,7.714939522719844,145,13.20582877959927,5.490889256879427
메소,149,4.870872834259562,135,12.295081967213115,7.4242091329535524
패스,140,4.576659038901601,111,10.10928961748634,5.5326305785847385
직업,194,6.341941811049362,110,10.018214936247723,3.676273125198361
감사,114,3.7267080745341614,106,9.65391621129326,5.927208136759099
미트라,186,6.080418437397842,106,9.65391621129326,3.5734977738954186
레테,206,6.7342268715266425,97,8.83424408014572,2.100017208619077
본섭,185,6.047728015691402,90,8.19672131147541,2.148993295784007
에디,201,6.570774762994443,69,6.284153005464481,-0.28662175752996166
