category,title,created_at,views,likes,content,comment_count,title_clean,content_clean,analysis_text,has_question_signal,is_question,tokens,is_new_returning
기타,모멘텀패스 살까요 플러스 나오는 거 살까요?,2026-08-19,36,0,"챌섭에서 렌 키우고 있습니다.
지금 렙 284인데 모멘텀패스 사고 다음 주 에픽던전이랑 익몬하면 285 찍을 수도 있을 거 같은데
혹시 그냥 오늘 5만원짜리 모멘텀 사는게 나을까요 아니면 내일 나오는 플러스?프리미엄? 사는게 나을까요?
목표는 285 찍고 하메잡고 챌린저 찍는 겁니다... 지금 82000이라 하메만 잡으면 되는뒈에ㅔ에에ㅔ",1,모멘텀패스 살까요 플러스 나오는 거 살까요?,챌섭에서 렌 키우고 있습니다. 지금 렙 284인데 모멘텀패스 사고 다음 주 에픽던전이랑 익몬하면 285 찍을 수도 있을 거 같은데 혹시 그냥 오늘 5만원짜리 모멘텀 사는게 나을까요 아니면 내일 나오는 플러스?프리미엄? 사는게 나을까요? 목표는 285 찍고 하메잡고 챌린저 찍는 겁니다.. 지금 8200이라 하메만 잡으면 되는뒈에ㅔ에에ㅔ,모멘텀패스 살까요 플러스 나오는 거 살까요? 챌섭에서 렌 키우고 있습니다. 지금 렙 284인데 모멘텀패스 사고 다음 주 에픽던전이랑 익몬하면 285 찍을 수도 있을 거 같은데 혹시 그냥 오늘 5만원짜리 모멘텀 사는게 나을까요 아니면 내일 나오는 플러스?프리미엄? 사는게 나을까요? 목표는 285 찍고 하메잡고 챌린저 찍는 겁니다.. 지금 8200이라 하메만 잡으면 되는뒈에ㅔ에에ㅔ,True,True,"['모멘텀', '패스', '플러스', '챌섭', '사고', '에픽던전', '익몬', '내일', '프리미엄', '하메', '챌린저', '되는뒈']",False
기타,자석펫 확률업 공지 하고 하나요??,2026-08-19,143,0,"자석펫 사야 하는데
혹시 내일 패치하면 들어올까 해서
공지 하고 하나요??
공지 안 하고 한다면 내일 들어올 가능성 혹시 있을까요?
얼마 전에 한 걸로 아는데 6월쯤인가",0,자석펫 확률업 공지 하고 하나요??,자석펫 사야 하는데 혹시 내일 패치하면 들어올까 해서 공지 하고 하나요?? 공지 안 하고 한다면 내일 들어올 가능성 혹시 있을까요? 얼마 전에 한 걸로 아는데 6월쯤인가,자석펫 확률업 공지 하고 하나요?? 자석펫 사야 하는데 혹시 내일 패치하면 들어올까 해서 공지 하고 하나요?? 공지 안 하고 한다면 내일 들어올 가능성 혹시 있을까요? 얼마 전에 한 걸로 아는데 6월쯤인가,True,True,"['자석펫', '확률업', '공지', '자석', '내일', '패치', '들어오']",False
아이템,울티마 상점떔에 3배 썩어나는데 4배로 교환할수있나요??,2026-08-19,157,0,받기전 3배 이벤창에서밖에 교환못함요...?,2,울티마 상점떔에 3배 썩어나는데 4배로 교환할수있나요??,받기전 3배 이벤창에서밖에 교환못함요..?,울티마 상점떔에 3배 썩어나는데 4배로 교환할수있나요?? 받기전 3배 이벤창에서밖에 교환못함요..?,True,True,"['울티마', '상점', '교환']",False
아이템,뉴비 템세팅 질문.....,2026-08-19,166,0,"템환 6.7 헥환 5.7 찍힙니다
익스우 솔플정도 목표인데 앞으로 템세팅 어떻게 해나가면 될까요?
지금 템세팅한거 좀 비효율적인지도 알려주세요,,",4,뉴비 템세팅 질문...,"템환 6.7 헥환 5.7 찍힙니다 익스우 솔플정도 목표인데 앞으로 템세팅 어떻게 해나가면 될까요? 지금 템세팅한거 좀 비효율적인지도 알려주세요,,","뉴비 템세팅 질문... 템환 6.7 헥환 5.7 찍힙니다 익스우 솔플정도 목표인데 앞으로 템세팅 어떻게 해나가면 될까요? 지금 템세팅한거 좀 비효율적인지도 알려주세요,,",True,True,"['뉴비', '세팅', '템환', '헥환', '찍히', '익스', '효율', '알리']",True
기타,메이플 결정석 수수료있나요...?,2026-08-19,291,0,"이지 대적자 잡고 팔았는데 3억800만원이라고 써있는데 2억9400만원이 들어왔네요 ..
이거 결정석도 수수료가 있는건가요 ?",1,메이플 결정석 수수료있나요...?,이지 대적자 잡고 팔았는데 3억800만원이라고 써있는데 2억9400만원이 들어왔네요 .. 이거 결정석도 수수료가 있는건가요 ?,메이플 결정석 수수료있나요...? 이지 대적자 잡고 팔았는데 3억800만원이라고 써있는데 2억9400만원이 들어왔네요 .. 이거 결정석도 수수료가 있는건가요 ?,True,True,"['정석', '수수료', '이지', '대적', '들어오', '결정']",False
기타,제네시스 패스,2026-08-19,213,0,"이번주에 사서 하고있는데, 해방이 한달로 단축되는거 아니에용???? 아니면 난 반만 먹고 나오는건강 ㅠㅠ",3,제네시스 패스,"이번주에 사서 하고있는데, 해방이 한달로 단축되는거 아니에용?? 아니면 난 반만 먹고 나오는건강 ㅠㅠ","제네시스 패스 이번주에 사서 하고있는데, 해방이 한달로 단축되는거 아니에용?? 아니면 난 반만 먹고 나오는건강 ㅠㅠ",True,True,"['제네시스', '패스', '해방', '단축', '건강']",False
아이템,1석->2석 순수자석범위는 같나요?,2026-08-19,597,0,"순수 자석범위는 3석부터 늘어나는거죠?
2석은 안먹어지던 4층이 먹어지는건 아니고
두마리가 좌우로 뛰댕겨서 빨리 먹어지는거 맞나요?",3,1석->2석 순수자석범위는 같나요?,순수 자석범위는 3석부터 늘어나는거죠? 2석은 안먹어지던 4층이 먹어지는건 아니고 두마리가 좌우로 뛰댕겨서 빨리 먹어지는거 맞나요?,1석->2석 순수자석범위는 같나요? 순수 자석범위는 3석부터 늘어나는거죠? 2석은 안먹어지던 4층이 먹어지는건 아니고 두마리가 좌우로 뛰댕겨서 빨리 먹어지는거 맞나요?,True,True,"['순수', '자석', '범위', '늘어나', '마리', '좌우', '댕기']",False
퀘스트,제네플,2026-08-19,116,0,이번주 목요일 해방인데 순서대로 잡아야하나요? 순서 상관없나요?,0,제네플,이번주 목요일 해방인데 순서대로 잡아야하나요? 순서 상관없나요?,제네플 이번주 목요일 해방인데 순서대로 잡아야하나요? 순서 상관없나요?,True,True,"['제네플', '목요일', '해방', '순서', '상관']",False
아이템,안녕하세요 하드메이린 세팅 문의드립니다,2026-08-19,261,0,"안녕하세요 현재 284카인입니다
지금 템/내실 상태로 하드메이린 환산 93%
나오는데
110% 나오려면
보조랑 엠블렘만 레유 / 레에 로 바꾸면될까요??
다른것도 바꿔야할게있는지 궁금합니다..",2,안녕하세요 하드메이린 세팅 문의드립니다,안녕하세요 현재 284카인입니다 지금 템/내실 상태로 하드메이린 환산 93% 나오는데 110% 나오려면 보조랑 엠블렘만 레유 / 레에 로 바꾸면될까요?? 다른것도 바꿔야할게있는지 궁금합니다..,안녕하세요 하드메이린 세팅 문의드립니다 안녕하세요 현재 284카인입니다 지금 템/내실 상태로 하드메이린 환산 93% 나오는데 110% 나오려면 보조랑 엠블렘만 레유 / 레에 로 바꾸면될까요?? 다른것도 바꿔야할게있는지 궁금합니다..,True,True,"['하드메이린', '세팅', '문의', '내실', '환산', '보조', '엠블렘', '궁금하']",False
아이템,17성 에테 유에,2026-08-19,696,0,"17성 에테 유에 2줄 쓸만한가요..?
8에테 갈려하는데 지금 장갑은 18에테 크주주 끼고있습니다.",2,17성 에테 유에,17성 에테 유에 2줄 쓸만한가요..? 8에테 갈려하는데 지금 장갑은 18에테 크주주 끼고있습니다.,17성 에테 유에 17성 에테 유에 2줄 쓸만한가요..? 8에테 갈려하는데 지금 장갑은 18에테 크주주 끼고있습니다.,True,True,"['에테', '유에', '장갑', '주주']",False
