title,category,views,question_intent
뉴비 템세팅 질문.....,아이템,166,가능·적정성
챌섭 지금 시점에서 뉴비가 검마 2~3인트라이하려면 어떤구인방법이 있을까요,기타,392,가능·적정성
샤타때 만들어버렸는데 이후 템셋 문의… 9-10만목표,아이템,675,우선순위
메린이 챌섭에서 사전리프 했다가 망했어요..,기타,3840,가능·적정성
뉴비 레테 해방무기 에디큐브,아이템,317,선택·추천
뉴비 헥사 질문있습니다,기타,243,선택·추천
메이플 아예 모르는 뉴비 질문드려봅니다,기타,352,기타 질문
대적자 코인 질문,아이템,199,기타 질문
선생님들 도와주세요!,아이템,222,문제 해결
형님들 해방무기 추옵..뭐가 더좋은지 한번만 봐주실수있나요?,아이템,320,선택·추천
챌섭 유입 렌 메린이 장비 좀 봐주실분,아이템,295,우선순위
뉴비 조언 부탁드립니다!!,아이템,204,가능·적정성
진짜 쌩 뉴비 질문이 있습니다,직업,264,우선순위
뉴비 다음 템 목표 좀 정해주십시요,아이템,235,방법·공략
형님들 엔버vs듀블vs윈브 본캐 추천좀해주십쇼,직업,284,선택·추천
챌섭 뉴비 제발 하메 템 한번만 봐주실분,아이템,439,우선순위
뉴비 감히 스펙업 질문 드립니다..,아이템,325,우선순위
엔버 챌섭에서 키우는 뉴비인데 유니온물약 질문이요,직업,205,기타 질문
템 방향성좀 물어봐도 될까요,아이템,290,우선순위
완전 생초보 뉴비 질문드립니다,아이템,300,우선순위
메린이 부캐 200작,퀘스트,364,기타 질문
챌섭 시작 3일차 뉴비 3만점 가능한가요,기타,356,우선순위
큐브 사용처 추천해주세요!!,아이템,270,선택·추천
옥션 포인트뭐예요?,기타,316,선택·추천
뉴비 에3앜5 템셋 질문이 있어요,아이템,803,기타 질문
메린이 노적자 180-200퍼 배율 템셋팅 조언 부탁드립니다.,아이템,326,우선순위
챌섭 뉴비 하드메이린 템진단 부탁드립니다.,아이템,399,우선순위
뉴비 남캐 추천부탁드립니다.,직업,278,선택·추천
매일 풀메 채우는 뉴비 템 계획 훈수좀;,기타,978,기타 질문
유챔 질문있습니다!,기타,241,가격·시세
약 20년만에 복귀 초뉴비 질문,아이템,428,가능·적정성
계정 삭제 후 본캐육성,기타,474,기타 질문
출석 보돌만 하다가 제대로 복귀해보려하는데 템셋 질문좀여,아이템,290,우선순위
유챔 하드 세렌급 보조 스펙 질문 있습니다!,아이템,402,선택·추천
뉴비 아버 템 대체질문,아이템,497,가능·적정성
선생님들 헥사환산 몇을 목표로 잡아야할까요?,아이템,698,우선순위
유니온 크뎀40개찍으려면 유니온 몇렙되야하나요???,기타,483,기타 질문
유입된 메린인 인데 이 이상 어떻게 스팩업을 해야할지 알려주세요!,아이템,367,우선순위
mvp작,기타,537,기타 질문
에테 18성 직작 vs 완작사기,아이템,5022,선택·추천
본캐 추천 부탁드리겠습니다....,직업,430,선택·추천
메린이 익스우 템세팅 질문,기타,501,가능·적정성
뉴비 하드메이린 찐모,몬스터,762,기타 질문
초저자본 메린이 첫 제네시스 잠재 질문,아이템,462,가격·시세
어제 시작한 뉴비 제네패스,기타,1294,우선순위
뉴비 루컨마 시세 문의 드립니다..!!!,아이템,466,가격·시세
메이플 늦은 유입 뉴비 현시점 제네패스 질러도 될까요?,기타,538,선택·추천
메린이 본캐 고민,직업,685,기타 질문
선생님들 이거 어떤 거 선택하면 좋을까요?,아이템,491,선택·추천
뉴비 쌍레보조 150억,아이템,3305,기타 질문
뉴비 50억으로 뭐해야 할 까요 ?,아이템,517,우선순위
메린이 하드메이린 잡으려면 어떻게 세팅해야 할까요…,아이템,419,우선순위
칠흑 아랫급에 별누르는건 요새 별로임?,아이템,1465,가격·시세
120억에 샀는데 ㄱㅊ은가요??,아이템,3878,가격·시세
안녕하세요 챌섭유입 뉴비입니다.,몬스터,444,가격·시세
"안녕하세요 메쌤, 메형님들 뉴비 질문 몇 가지만 해도 될까요?",기타,366,우선순위
메이플 쌩뉴비 질문드려요...,기타,362,방법·공략
챌섭 유입 메린이 템 진로 고민입니다 !!,아이템,364,선택·추천
챌섭에서 챌린저 찍은 뉴비인데,아이템,587,선택·추천
뉴비 진짜 이해안가는데 챌섭매물이요,시세,1664,가격·시세
복귀 뉴비 진짜 망했어요,기타,834,문제 해결
챌섭 뉴비 하드메이린 잡고싶은데 스펙업 질문,아이템,1091,우선순위
메이플 지금 복귀 괜찮음?,기타,842,가능·적정성
3일차 뭐해야할지 모르겠어요 메쌤들 좀 도와주세요,기타,450,우선순위
메쌤들 제네무기 잠재 선택 도와주세요,직업,415,선택·추천
자석펫 스카니아에 있으면 스카니아로 리프해야겠져?,기타,603,우선순위
카링 168배율인데 할만한가요,몬스터,651,기타 질문
검마 배율 181%인데 이거 잡히는거 맞나요..?,몬스터,1097,방법·공략
챌섭 블큐 화에큐 사용처 및 챌 달성 질문,아이템,588,가격·시세
메잘알 선배님들 질문,퀘스트,305,가격·시세
챌섭 쌩뉴비 여러 가지 질문 드립니다 !,기타,366,가격·시세
마도서 먹었는데 어쩌죠?,아이템,2540,기타 질문
메이플 챌섭 뉴비 아이템 추가 스펙업 질문합니다!,아이템,355,가격·시세
드랍셋,기타,359,가능·적정성
뉴비) 첫 해방 무기 세팅 방법 좀 알 수 잇을까요?!,아이템,389,가능·적정성
복귀 중고뉴비 대적자 코인 뭐에 써야할까요?,아이템,651,선택·추천
메이플 처음하는데 도와주실분..,기타,493,가격·시세
헥환 4.5 이후 템셋팅 질문.,아이템,677,우선순위
안녕하세요 메린이인데 질문있습니다.,기타,359,우선순위
[뉴비] 메짱이형님들 템진로 조언 부탁드립니다,아이템,261,우선순위
뉴비 콜 280억으로 세팅좀 해주실분 ㅠㅠ 메이린 잡고싶어요,아이템,458,가격·시세
메이플 대장장이 컨텐츠질문!,기타,1003,가격·시세
뉴비 제논 진로 방향 알려주실분,직업,414,우선순위
