question_intent,category,count
가격·시세,기타,39
가격·시세,몬스터,1
가격·시세,시세,17
가격·시세,아이템,86
가격·시세,직업,5
가격·시세,퀘스트,3
가능·적정성,기타,59
가능·적정성,몬스터,4
가능·적정성,시세,3
가능·적정성,아이템,60
가능·적정성,직업,7
가능·적정성,퀘스트,3
기타 질문,기타,67
기타 질문,몬스터,6
기타 질문,시세,1
기타 질문,아이템,62
기타 질문,직업,21
기타 질문,퀘스트,6
문제 해결,기타,8
문제 해결,몬스터,1
문제 해결,아이템,15
문제 해결,직업,2
문제 해결,퀘스트,1
방법·공략,기타,12
방법·공략,몬스터,3
방법·공략,시세,1
방법·공략,아이템,16
방법·공략,직업,5
방법·공략,퀘스트,4
선택·추천,기타,28
선택·추천,몬스터,1
선택·추천,시세,1
선택·추천,아이템,82
선택·추천,직업,50
선택·추천,퀘스트,2
우선순위,기타,47
우선순위,몬스터,2
우선순위,아이템,101
우선순위,직업,12
우선순위,퀘스트,1
